ages,gender,religion,role,agr_bhv,rel_fnt,hst_twd_for,lvl_rct_act,crt_agr_lvl,rel_agr,is_current_threat,prob_threat
41,0,0,0,0.363329641,0.782317757,0.390906709,0.036412957,0.919103116,0.389076521,0,0.130351012
31,0,0,1,0.402366045,0.592893551,0.793915007,0.508834758,0.604518604,0.326549525,1,0.835739332
33,0,0,2,0.394360635,0.318658854,0.301640464,0.524052957,0.613275852,0.172016676,0,0.188366122
41,0,0,3,0.290426807,0.586668866,0.299787247,0.568045845,0.608967489,0.233228032,0,0.379338068
43,0,0,0,0.338684907,0.48815401,0.288269,0.190259226,0.500093554,0.226309983,0,0.39574969
34,0,1,2,0.281415323,0.428976126,0.008137711,0.508142541,0.434291009,0.165246348,0,0.131995733
37,0,1,1,0.275143048,0.634207368,0.605980831,0.598865434,0.951453466,0.238858573,0,0.319412102
38,0,0,0,0.434350058,0.578596253,0.251101315,0.138938309,0.311413685,0.344006388,0,0.338921871
36,0,0,2,0.167506545,0.504808108,0.36536915,0.232540453,0.550705262,0.115746831,0,0.650208704
26,0,0,0,0.216268901,0.579801334,0.508479897,0.025244661,0.601713997,0.171642285,0,0.628900762
35,0,0,0,0.283454548,0.729887341,0.507536109,0.630025065,0.088640571,0.283198056,0,0.395972908
30,0,0,1,0.185899895,0.566139499,0.371257445,0.084022806,0.799247729,0.144063382,0,0.190291055
35,0,0,0,0.529919196,0.476515606,0.702523175,0.133826995,0.829758588,0.345650975,0,0.049838865
34,0,0,0,0.260132024,0.372794253,0.2813223,0.203485538,0.792097014,0.132743735,0,0.203773924
35,0,0,0,0.301070973,0.782329434,0.599237395,0.528334974,0.628138638,0.322410786,0,0.410928293
41,1,0,0,0.578413031,0.562892043,0.260454378,0.261222579,0.803109454,0.445670804,0,0.152604077
27,0,0,0,0.280576172,0.411141662,0.360916674,0.130883934,0.13723513,0.157904053,0,0.472943628
36,0,0,1,0.089549489,0.180733878,0.247660109,0.012295843,0.298869299,0.022154078,0,0.141060177
