ages,gender,religion,role,agr_bhv,rel_fnt,hst_twd_for,lvl_rct_act,crt_agr_lvl,rel_agr,is_current_threat,prob_threat
44,0,0,2,0.372871933,0.394015251,0.55041257,0.634023987,0.020498058,0.160068873,,
34,0,0,0,0.751816401,0.512804761,0.682898945,0.349929034,0.599910299,0.420047113,,
30,0,0,2,0.181763866,0.647552991,0.391166206,0.000659528,0.100036261,0.128238085,,
35,0,0,2,0.561965295,0.178147539,0.492223565,0.120459072,0.817559574,0.109074563,,
35,0,0,0,0.231277149,0.91884355,0.17319637,0.249334808,0.584766801,0.231530631,,
37,0,0,0,0.374717131,0.728686173,0.894675893,0.08403422,0.737342208,0.297494018,,
38,0,0,0,0.204564562,0.825760625,0.570138914,0.179870941,0.262416674,0.184042757,,
33,0,0,0,0.251613244,0.769198383,0.582205533,0.498663253,0.423284188,0.210865738,,
31,0,1,0,0.820573637,0.411764844,0.404408521,0.336004477,0.359757403,0.368129808,,
41,0,0,1,0.430222018,0.714028534,0.70309252,0.199976936,0.446870214,0.33468971,,
40,0,0,0,0.926680812,0.85943373,0.510397607,0.005993939,0.053850866,0.867714241,,
37,0,0,3,0.472124874,0.430126915,0.446307231,0.512688936,0.985492108,0.221252233,,
32,0,0,3,0.378471004,0.545797848,0.10454171,0.038711277,0.097037067,0.225060143,,
32,0,0,0,0.443168652,0.518884215,0.287214619,0.214989143,0.074345452,0.250538026,,
33,0,0,1,0.238561748,0.489864694,0.523590149,0.465172762,0.088932607,0.127324245,,
41,0,0,0,0.593438087,0.447860194,0.479345262,0.793164159,0.577196402,0.289568982,,
43,0,0,0,0.572165361,0.335137937,0.593008501,0.017678806,0.423111179,0.208919662,,
34,0,0,2,0.205580067,0.992371927,0.79542376,0.525106546,0.054101667,0.222274496,,
38,0,0,2,0.37730996,0.693542943,0.316674062,0.165809275,0.589785871,0.285105626,,
38,0,0,2,0.188711765,0.677831842,0.661405547,0.293906411,0.508913729,0.139365444,,
31,0,0,0,0.147831596,0.833595383,0.458597415,0.477543743,0.712097753,0.134263117,,
39,0,0,2,0.308855971,0.565441423,0.531764169,0.733578879,0.490832037,0.190273271,,
33,0,0,2,0.29858109,0.523999492,0.621017068,0.324811154,0.64282701,0.1704619,,
35,0,0,2,0.045383624,0.320711188,0.388496767,0.143505926,0.250531918,0.015857964,,
35,0,0,0,0.336705307,0.573464277,0.88003057,0.462265232,0.550742803,0.210373238,,
32,0,0,1,0.431206144,0.734358559,0.607383397,0.591672047,0.601352261,0.345006488,,
35,1,1,0,0.186337947,0.509389123,0.145326761,0.055972992,0.959294725,0.10341538,,
32,0,0,0,0.483923844,0.649550121,0.27220279,0.358759299,0.371300096,0.342471037,,
44,0,0,0,0.078686846,0.508762092,0.43037076,0.362160106,0.68439308,0.043616523,,
