ages,gender,religion,role,agr_bhv,rel_fnt,hst_twd_for,lvl_rct_act,crt_agr_lvl,is_current_threat
36,0,0,0,0.224896757,0.359316146,0.302938407,0.082656131,0.419023081,0
23,0,1,2,0.56246634,0.766950152,0.191666105,0.513687482,0.632938231,0
19,0,0,2,0.810583034,0.279508986,0.476025545,0.422530297,0.521693179,1
33,0,0,2,0.950779939,0.893175779,0.689126884,0.164731943,0.156902646,1
34,0,0,0,0.652642461,0.61356819,0.212402628,0.876195623,0.891090265,0
44,0,0,1,0.445410829,0.372294029,0.795011895,0.060283647,0.335151734,0
34,0,0,0,0.40432402,0.009004765,0.650958943,0.630051181,0.504161602,0
45,0,1,1,0.562371408,0.67454905,0.407208382,0.183632999,0.178579587,1
27,1,0,0,0.902950132,0.174371074,0.933862997,0.63604725,0.961555829,0
40,1,0,1,0.406215119,0.919283563,0.056355335,0.867678318,0.578997776,0
44,0,1,2,0.765171084,0.251195241,0.758881083,0.63933661,0.055993387,1
46,0,0,0,0.126639766,0.837163564,0.398173736,0.474783593,0.292774105,0
50,0,0,0,0.49949462,0.580838429,0.042389975,0.357900965,0.658536634,0
38,0,1,0,0.843725886,0.52752311,0.410561304,0.872773799,0.669527658,1
33,0,0,1,0.99179281,0.136789698,0.13785327,0.632011129,0.306812264,0
34,0,0,0,0.09354814,0.401820642,0.979892755,0.429914972,0.933820007,0
41,1,0,1,0.534148576,0.651560217,0.399338099,0.914385422,0.191699223,0
34,0,0,0,0.102742906,0.487463098,0.181673135,0.446542877,0.803767953,0
37,0,0,0,0.131931838,0.304339729,0.618243022,0.634629283,0.675204055,0
32,0,0,1,0.717442285,0.146197052,0.027257488,0.184641602,0.12031602,0
47,0,0,1,0.67634153,0.883155059,0.894670263,0.323661576,0.230984068,0
32,0,0,0,0.01824079,0.222644872,0.400493021,0.717411334,0.745848422,0
26,0,0,1,0.393437048,0.499067978,0.989829629,0.138665191,0.132366759,0
32,0,0,0,0.618787941,0.636245687,0.632302388,0.806546177,0.986273269,1
33,1,1,0,0.869727302,0.129286497,0.070361061,0.175494306,0.564069548,0
37,0,0,3,0.138382108,0.701811094,0.85047868,0.276721972,0.403675239,1
39,0,1,1,0.881816981,0.972086539,0.331537191,0.976156289,0.570227635,0
35,0,0,2,0.806682755,0.102753891,0.893438278,0.616212709,0.817869117,0
35,0,0,0,0.222618307,0.342027097,0.015394253,0.102369982,0.955819977,0
32,0,0,3,0.438832144,0.880894302,0.298906172,0.467441114,0.26497374,0
42,0,1,1,0.287762131,0.684734988,0.328335517,0.516038372,0.558075797,0
35,0,0,0,0.394713983,0.567185867,0.501007298,0.670629101,0.044009705,1
39,0,0,2,0.096691421,0.089652361,0.840796545,0.589732901,0.981394511,0
44,0,0,2,0.07684787,0.201269157,0.595579263,0.915311665,0.253582048,0
44,0,0,0,0.766672351,0.715483302,0.388352415,0.42478313,0.25575386,0
39,0,0,3,0.170407071,0.526842474,0.562454902,0.035384811,0.634717357,1
43,0,1,0,0.122683054,0.903012763,0.443896477,0.423601372,0.648741628,0
38,0,0,1,0.660396228,0.646149851,0.198211496,0.941513066,0.209918065,1
42,0,0,0,0.992720132,0.082281181,0.812927241,0.285508963,0.970580739,0
44,1,0,0,0.317956498,0.53502215,0.072043064,0.940084274,0.604624959,1
43,0,0,0,0.66379415,0.740821217,0.180766535,0.153570793,0.252165349,0
38,0,0,1,0.67665088,0.115153239,0.703070026,0.922433099,0.404197885,0
43,0,0,0,0.690838322,0.594814044,0.872094897,0.403567279,0.767727919,1
28,0,0,3,0.808662164,0.471114937,0.984552574,0.141081608,0.769566466,0
38,0,0,1,0.984514873,0.86513772,0.202089281,0.913468942,0.591717229,0
26,1,0,2,0.488291566,0.56999631,0.280842245,0.474728051,0.227252904,0
34,0,0,0,0.261715557,0.809439537,0.383226113,0.854142539,0.124477327,0
38,0,0,2,0.052229851,0.687584981,0.726199073,0.271316799,0.726628481,0
30,0,1,0,0.858373112,0.032281604,0.052615725,0.602156516,0.961262988,1
32,0,0,0,0.301041012,0.296453236,0.245118389,0.878888295,0.810494905,0
29,0,0,0,0.88651572,0.029761983,0.816437072,0.034559461,0.005924761,1
33,0,0,0,0.885567035,0.65033981,0.322404403,0.503214485,0.543006841,1
40,0,0,0,0.037894556,0.351138104,0.610957873,0.216745486,0.338248637,1
33,0,0,1,0.467513086,0.146867293,0.13357003,0.280946775,0.83396454,0
32,0,1,0,0.103509755,0.266146125,0.5798248,0.54594787,0.753371029,1
46,0,0,2,0.386335903,0.045262738,0.097040238,0.382396776,0.658137219,0
34,0,0,0,0.331197161,0.730770927,0.091352171,0.109308526,0.925983238,0
36,0,0,0,0.131183403,0.629618038,0.040533677,0.419749923,0.007382219,1
36,0,0,1,0.17548643,0.599192991,0.429954716,0.143955993,0.646476244,1
36,0,0,0,0.185540938,0.547486116,0.847884633,0.231112382,0.480047448,0
39,0,0,2,0.570688809,0.416130292,0.540581048,0.49246322,0.230195879,0
31,0,0,1,0.700285256,0.851232093,0.616304075,0.603819381,0.087356415,0
31,1,0,0,0.993140777,0.707693486,0.5825429,0.754522875,0.257853761,0
36,1,1,0,0.782460061,0.404710936,0.423887623,0.793456411,0.896079876,0
30,0,0,1,0.667028823,0.248589748,0.548029099,0.869760487,0.230238479,0
36,1,1,0,0.073676992,0.926335226,0.861723021,0.828044484,0.282873435,1
40,0,0,0,0.773114481,0.235188866,0.121709467,0.164424362,0.098905059,0
37,0,0,2,0.814410496,0.104474408,0.346303992,0.485274658,0.758784176,0
36,0,0,1,0.21678558,0.404998724,0.612336168,0.400835634,0.029427595,0
36,0,0,0,0.553150893,0.168758965,0.095019799,0.493683726,0.556240016,1
40,0,1,0,0.463930284,0.072956462,0.625892113,0.590542643,0.841568814,0
33,0,0,1,0.814260461,0.02852389,0.833372084,0.278729161,0.275226061,0
43,0,0,0,0.478367742,0.826162534,0.613424804,0.931332447,0.341377894,0
33,0,0,2,0.020474906,0.385279206,0.644882676,0.94514699,0.714310436,0
28,0,1,0,0.216623691,0.267342294,0.834563627,0.254920177,0.110885477,0
33,0,1,0,0.691750173,0.646520441,0.663859293,0.548487149,0.2411683,0
43,0,0,2,0.618888455,0.124886,0.520505165,0.704715004,0.416305786,0
38,0,0,2,0.479295766,0.599442671,0.357153029,0.187014055,0.502815279,0
33,0,0,1,0.684968688,0.261493842,0.594566335,0.246375088,0.955879922,0
38,0,0,1,0.966569701,0.64936593,0.315006443,0.762955771,0.416375693,0
34,0,1,0,0.358802567,0.863134416,0.257312973,0.689900451,0.751807573,0
39,0,0,1,0.75681836,0.267324189,0.891330414,0.149837209,0.486507515,0
29,0,0,3,0.744681622,0.477345598,0.037170417,0.012741257,0.258770717,1
35,0,0,0,0.671344663,0.867988254,0.899264578,0.939934141,0.527860429,0
34,0,0,2,0.419012766,0.144463623,0.870979744,0.230650536,0.369418671,0
32,0,0,0,0.878482159,0.292152981,0.448276431,0.067398234,0.224632693,0
43,0,0,0,0.204735995,0.794013468,0.781923233,0.549108829,0.520708879,0
36,0,0,1,0.702356929,0.678343175,0.032601098,0.212157816,0.555307227,0
30,1,0,0,0.004337068,0.983591029,0.808916175,0.842930906,0.640076808,0
32,0,0,2,0.010354575,0.237364091,0.534677134,0.783093883,0.074526437,0
34,0,0,2,0.419226289,0.28701074,0.015492419,0.885600826,0.716489934,0
47,1,0,0,0.254409509,0.044868025,0.369305894,0.47099994,0.140936104,1
39,0,0,2,0.764813004,0.638001604,0.158268952,0.977228653,0.776357106,0
36,0,0,0,0.29305181,0.84635891,0.998236268,0.535419442,0.03116569,0
37,0,0,0,0.074768022,0.170550013,0.358828305,0.399874645,0.269399114,0
42,0,0,0,0.040816489,0.870004448,0.258524149,0.13019665,0.026209983,0
33,0,0,1,0.680331062,0.431080995,0.954580961,0.738506783,0.767901162,0
36,0,0,0,0.766262096,0.877436978,0.726650724,0.496414139,0.182127483,0
37,0,0,0,0.384694454,0.396966726,0.955683003,0.459315775,0.495151601,0
33,0,0,2,0.049419324,0.215886854,0.343698729,0.958936343,0.37230877,0
36,0,1,0,0.073456873,0.749639974,0.430386916,0.003250683,0.409153047,1
42,0,1,0,0.202011885,0.858385231,0.318375229,0.37266754,0.34160541,0
38,0,1,2,0.281850508,0.380132243,0.572739388,0.335659525,0.79552256,1
36,0,0,1,0.158642448,0.86861186,0.638468348,0.520836371,0.861655008,1
39,0,0,3,0.596768666,0.463054012,0.034696642,0.483983826,0.197255309,1
38,1,1,0,0.637797551,0.336957034,0.257479266,0.228656303,0.723086208,0
